English,Japanese
acholic,a〉無胆汁(症)の、胆汁欠乏(症)の
acholous,a〉無胆汁(症)の、胆汁欠乏(症)の
acholuria,無胆汁尿(症)
acholuric,a〉無胆汁尿(症)の
achondrogenesis,軟骨無形成(症)、軟骨無発生(症)
achondroplasia,軟骨無形成(症)
achromatic,a〉1_無色の 2_色収差を補正した、色消しの 3_《生物》非染色性の、無色の
achromatism,色盲
achromatopsia,色盲
achylia,無乳糜(症)
acicular,a〉針状の
acid,酸
acid base,酸塩基
acid citrate dextrose,クエン酸−クエン酸塩−ブドウ糖
acid extracted,a〉酸抽出の
acid fast,a〉抗酸性の
acidic,a〉1_酸の 2_酸性の
acidification,酸性化
acidimetric,a〉酸滴定の
acidity,酸度、酸性度
acidogenic,a〉酸産生の
acidophilic,a〉好酸性の
aciduric,a〉耐酸(性)の
acinar,a〉腺房の
acinic,a〉腺房の
acinous,a〉腺房の
acinus,〔組織〕腺房
acne,面皰 にきび
acoustic,a〉聴覚の
acquired,a〉後天(性)の、獲得(性)の
acquisition,習得、獲得
acrania,無頭蓋(症)
acranius,無頭蓋体、無頭体
acridine,アクリジン
acroagnosis,先端失認症
acroanesthesia,先端知覚麻痺
acroasphyxia,先端仮死
acroataxia,先端運動失調症
acrocephalic,a〉尖頭の
acrocephalosyndactyly,尖頭合指(症)
acrocontracture,先端拘縮
acrocyanosis,肢端チアノーゼ、肢端青色症
acrodynia,先端疼痛(症)
acrokeratosis,先端角化症
acromegaly,先端肥大(症)、末端肥大症、肢端肥大(症)
acromegalia,先端肥大(症)、末端肥大症、肢端肥大(症)
acromegalic,a〉先端肥大(性)の、先端肥大症の
acromelalgia,先端疼痛(症)
acromelic,a〉肢端の
acromial,a〉肩峰の
acromioclavicular,a〉肩鎖の
acromioplasty,肩峰形成(術)
acromyotonia,四肢強直(症)
acroneuropathy,先端神経障害
acroneurosis,先端神経症、肢端神経症
acroosteolysis,先端骨溶解症
acroparesthesia,先端異常感覚
acrophobia,高所恐怖(症)
acropigmentation,先端色素沈着(症)、肢端色素沈着(症)
acrosclerosis,先端硬化症
acrosomal,a〉先体の
acrosome,精子先体、先体
acrosyndactylism,先端合指症
acrotism,脈波微弱
acrotrophoneurosis,先端栄養神経症
act,行い、行為、動作
actin,アクチン
actinic,a〉日光の、日射(性)の、放射線の、紫外線の
actinograph,日射計
actinography,1_光量計測 2_放射線計測
actinology,化学線学
actinometer,日射計
actinomyces,放線菌属
actinomycetaceae,放線菌科
actinomycete,放線菌
actinomycoma,放線菌腫
actinomycosis,放線菌症
actinoneuritis,放射線神経症
actinophage,放線菌ファージ
action,活動、行為、作用
activated,a〉活性化した
activation,活性化
activator,賦活体、活性化物質、活性薬
active,a〉1_能動の 2_活動性の
activity,1_活動 2_活性 3_作用
acuity,1_鋭敏さ<感覚の> 2_鋭さ<針の> 3_激しさ<病気の>
acupuncture,鍼、はり、刺鍼術、鍼治療
acuta,急性の
acute,a〉急性の
acyanotic,a〉非チアノーゼ性
adamantinoma,エナメル上皮腫 《ameloblastomaの旧称》
adaptable,《歯》調節できる、調節性の
adaptation,適合、適応、順応、順化
adaptive,a〉適合の、適応の、順応の
added,a〉加えられた
addict,常用者、常習者、中毒者
addicted,a〉依存の
addiction,嗜癖、依存、依存症
addition,1_相加 2_〔生化〕付加、添加 3_<[数]>加算、足し算、加法
additional,a〉余分の、添加の
additive,a〉相加的な
additivity,《理化》加算性
adduction,内転
adenalgia,腺痛
adendritic,a〉樹状突起のない
adenectomy,腺摘
adeniform,a〉腺形の、腺様の
adenitis,腺炎
adenoblast,腺芽細胞
adenocarcinoma,腺癌
adenocellulitis,腺蜂巣炎
adenocystic,a〉腺様嚢胞の
adenohypophysis,腺下垂体
adenoid,a〉腺様の
adenoidectomy,咽頭扁桃切除(術)、アデノイド切除(術)
adenolymphoma,腺リンパ腫
adenoma,腺腫
adenomatoid,a〉腺腫様の
adenomatosis,腺腫症
adenomatous,a〉腺腫の、腺腫様の
adenomyoepithelioma,腺筋上皮腫
adenomyoma,腺筋腫
adenomyosis,腺筋症
adenosarcoma,腺肉腫
adenosis,腺症
adenosquamous,a〉腺扁平上皮の
adenotomy,咽頭扁桃切除(術)
adhesion,1_接着 2_付着 3_粘着、癒着、癒合
adhesive,a〉接着(性)の、付着(性)の n〉接着材
adipocere,死蝋
adipocyte,脂肪細胞
adiponectin,アディポネクチン
adipose,a〉脂肪の、脂肪質の
adiposity,1a_肥満(症)(obesity) 1b_脂肪症、脂肪過多(症)(adiposis) 2_脂肪化
adjunctive,a〉随伴の、付属の、補助の
adjustable,a〉調整･調節できる、調節性の
adjustment,調整
adjuvant,a〉補助の、補助的な
administration,1_投与 2_管理
admission,1_入場、入会、入学、入院 2_入場料、入会金 3_自認
adnerval,a〉神経側の、向神経の
adneural,a〉神経側の、向神経の
adnexal,a〉付属器の<子宮の>
adnexitis,付属器炎<子宮の>
adolescentology,思春期学
adrenal,a〉副腎の n〉副腎
adrenalectomy,副腎摘出(術)
adrenalism,副腎不全(症)
adrenalitis,副腎炎
adrenalopathy,副腎疾患
adrenopathy,副腎疾患
adrenergic,a〉アドレナリン作動(性)の、アドレナリン作用(性)の、アドレナリン様の
adrenocortical,a〉副腎皮質の
adrenogenital,a〉副腎性器の
adrenolytic,抗アドレナリンの
adrenomedullary,a〉副腎髄質の
adrenomegaly,副腎肥大
adsorption,吸着
adult,成人
advanced,a〉進行の
adventitia,外膜、周膜
adventitial,a〉外膜の、周膜の
adventitious,a〉外膜の、周膜の
adviser,顧問
advisor,顧問
aeration,《理化》空気混和
aerobic,a〉好気性の
aerocele,気瘤
aerocolpos,膣気腫
aerodermectasis,皮下気腫
aerodontalgia,気圧歯痛
aerodontodynia,気圧歯痛
aerological,a〉高層気象の
aerology,高層気象学
aeromedicine,航空医学
aerometeorograph,《理化》高層自記気象計
aerophagia,空気嚥下(症)、呑気(症)
aerophagy,空気嚥下(症)、呑気(症)
aerospace,宇宙
afebrile,a〉無熱の、発熱症状のない
afferent,a〉求心性の
affinity,親和性、親和力、結合性
afibrinogenemia,無線維素原血(症)、無ヒトフィブリノゲン血(症)
afterbirth,後産、あと産
afterbrain,後脳
aftercontraction,後収縮
afterdepolarization,後脱分極
afterdrop,残効低下
aftereffect,余効、残効、後効果、後続作用
afterhyperpolarization,後過分極
afterinhibition,後抑制
afterload,後負荷
afterpotential,後電位
agalactia,無乳(症)
agammaglobulinemia,無ガンマグロブリン血(症)
aganglionosis,神経節細胞欠損(症)
agar,寒天
age,年齢
age specific,a〉年齢特異的な
aged,a〉老齢の、老いた
agenesia,無発生
agenesis,無発生
agent,1_薬剤 2_病原体 3_代理人
ageusia,味覚消失(症)
ageusis,味覚消失(症)
agglutination,凝集、凝集反応
agglutinin,凝集素
aggravation,悪化、増悪
aggregate,1_凝集物 2_(細胞の)集合体
aggregation,1_凝集 2_(細胞の)集合
aggregometry,凝集測定(法)
aggressive,a〉侵襲性の
aggressor,攻撃性の人
aging,加齢、老化
agitation,興奮
aglossia,無舌(症)
agnathia,無顎(症)
agnathous,a〉無顎(症)の
agnathus,無顎体、無顎胎児
agnogenic,a〉原因不明の、起源不明の、病因不明の
agnosia,失認(症)、認知不能
agonadism,無性腺(症)、性腺欠損(症)
agoraphobia,広場恐怖(症)、空間恐怖(症)
agranulocyte,無顆粒球
agranulocytosis,無顆粒球症
agricultural,a〉農業の
agromania,耕作狂、田園狂
agrypnia,不眠症
agrypnotic,a〉覚醒作用の
aichmophobia,尖端恐怖(症)
aid,1_助け、救助、援助 2_処置、手当て 3_補助具
air,空気
airborne,a〉空気で運ばれる、空気媒介の、空気伝送の、風媒の
airflow,気流、気流量
airway,気道、エアウェイ
akinesia,無動(症)、運動不能
akinetic,a〉無動の、運動不能の; 無糸分裂の
ala,《解》翼 [L]
alar,a〉翼の
alba,白色の
albicant,a〉白色の
albumin,アルブミン
albuminuria,アルブミン尿(症)、蛋白尿(症)
alcohol,アルコール
alcoholic,a〉アルコール(性)の
alcoholism,アルコール依存症、アルコール中毒
aldosterone,アルドステロン
aldosteronism,アルドステロン症
alertness,1_警戒 2_覚醒
alexia,失読(症)、読字障害
alexic,a〉失読(症)の、読字障害の
algal,a〉藻類の
algesia,痛覚過敏(症)
algesimeter,痛覚計、疼痛計、圧痛計
algesthesis,痛覚認識
algetic,a〉痛覚の、疼痛の
algoid,a〉藻類の
algology,1_疼痛学 2_藻類学*
algomenorrhea,月経痛
algometer,疼痛計、圧痛計
algophilia,疼痛愛好(症)、嗜痛愛
algophobia,疼痛恐怖(症)
algorithm,アルゴリズム
alignment,配列、アライメント
alimentary,a〉食事(性)の
alimentation,栄養法、栄養補給
aliphatic,a〉1_脂肪にかかわる 2_脂肪族の
aliquorrhea,髄液欠乏症、無髄液
alkalemia,アルカリ血(症)
alkali,アルカリ
alkaline,a〉アルカリ(性)の
alkalinity,アルカリ度
alkalinuria,アルカリ尿(症)
alkaluria,アルカリ尿(症)
alkalization,アルカリ化
alkaloid,アルカロイド、植物塩基
alkalometry,アルカロイド定量
alkalosis,アルカリ血症、アルカローシス
alkaluria,アルカリ尿
all cause,a〉全原因の
allantoic,a〉尿膜の
allantois,尿膜
allele,対立遺伝子
allelic,a〉対立遺伝子の、対立形質の
allelomorph,対立形質
allergen,アレルゲン
allergic,a〉アレルギー(性)の
allergization,アレルギー化
allergology,アレルギー学
allergy,アレルギー
alleviation,緩和
alloantibody,アロ抗体、同種異系抗体
allochroic,a〉変色(性)の、変色した
allochrous,a〉変色(性)の、変色した
allocortex,《解》不等皮質
allodynia,異疼痛、異痛、アロディニア
allogeneic,a〉同種異系の、同種の
allogenic,a〉同種異系の、同種の
allograft,同種異系移植片、同種移植片
alloimmune,a〉同種免疫の
allomnesia,異記憶
allopathic,a〉逆症療法の
alloplastic,a〉異物使用形成(術)の、異物形成(術)の
alloplasty,異物使用形成(術)、異物形成(術)
allorhythmia,周期性不整脈
allosteric,a〉アロステリックな
allotherm,変温動物、異温動物
allotopia,異所症
allotransplantation,他家移植
allowance,許容量
alloy,合金
alopecia,脱毛症
alteration,変更、改変、変容
alternative,a〉代替の
altimeter,高度計
altimetry,高度測定(法)、測高法
alveolar,a〉1_腺房の 2_肺胞の 3_胞巣状の 4_歯槽(骨)の
alveolitis,肺胞炎
alveolobronchography,肺胞気管支造影(法)
alveolus,《解》胞
amalgam,《歯》アマルガム
amaurosis,黒内障
amaurotic,a〉黒内障(性)の
ambiopia,二重視、複視
ambipolar,a〉両極(性)の
ambisexual,a〉両性の、両性具有の、両性愛の
ambisexuality,両性具有
ambivalence,両面感情
amblyaphia,触覚鈍麻
amblychromatic,a〉弱染性の、微染性の
amblyopia,弱視
amblyopic,a〉弱視の
amblyoscope,弱視鏡
ambulant,a〉1_歩行の、移動性の 2_外来の、通院の
ambulatory,a〉1_歩行の、移動性の 2_外来の、通院の
amebiasis,アメーバ症
amebic,a〉アメーバ(性)の
ameboid,a〉アメーバ様の
amelanotic,a〉無メラニンの
amelia,無肢症
amelioration,回復、改善、軽減
ameliorative,a〉回復の、改善の、軽減の
ameloblast,エナメル芽細胞
ameloblastic,a〉エナメル芽細胞の
ameloblastoma,エナメル上皮腫
amelogenesis,エナメル質形成
amelogenin,アメロゲニン
amelus,無肢体
amenorrhea,無月経
amenorrheic,a〉無月経の
amentia,精神遅滞
amino,アミノ
aminobenzoic,a〉アミノ安息香酸の
amitosis,無糸分裂
amitotic,a〉無糸分裂の
ammism,砂浴療法
ammonemia,アンモニア血(症)
ammoniacal,a〉アンモニア(性)の
ammonium,アンモニウム
ammonolytic,a〉加安分解の、アンモノリシスの
ammotherapy,砂浴療法
amnalgesia,痛覚忘却法
amnesia,健忘(症)、記憶喪失(症)
amnesiac,健忘症患者、記憶喪失症患者
amnestic,a〉健忘(症)の、記憶喪失(症)の
amniocentesis,羊水穿刺
amniogenesis,羊膜発生
amniography,羊膜造影(法)
amnion,羊膜
amnionic,a〉羊膜の
amnioniogenous,a〉羊膜原性の
amnionitis,羊膜炎
amniorrhea,羊水漏
amniorrhexis,羊膜破裂、破水
amnioscope,羊膜鏡、羊水鏡
amnioscopy,羊膜鏡検査(法)、羊水鏡検査(法)
amniote,a〉羊膜類の n〉羊膜動物
amniotic,a〉羊膜の
amoeboid,a〉アメーバ様の
amorphous,a〉無定形の、無構造の
amorphus,無形体
amount,1_量 2_総計
amphiarthrosis,《解》半関節
amphibian,両生動物、両生類
amphoric,a〉空壷音性の、空洞音性の
amphoteric,a〉両性の
amplification,拡大、増幅
amplifier,《理化》増幅器
amplitude,《理化》振幅
ampulla,膨大部 [L]
ampullar,a〉膨大(部)の
amputating,a〉切断の
amputation,切断(術)
amyelotrophy,脊髄萎縮
amyesthesia,筋感覚消失
amygdaloid,a〉杏仁状の 杏仁=きょうにん 、扁桃の
amylaceous,a〉澱粉性の、澱粉状の、澱粉質の
amylogenesis,澱粉形成
amyloid,a〉アミロイドの、類澱粉の
amyloidosis,アミロイドーシス、類澱粉沈着(症)
amylolysis,澱粉分解
amylorrhexis,澱粉破壊、澱粉分解
amyluria,澱粉尿症
amyoplasia,筋無形成
amyotrophic,a〉筋萎縮(性)の
anabolistic,a〉同化(性)の、同化的な
anacidity,無酸症、(胃)酸欠乏症
anaclisis,褥創
anaerobic,a〉嫌気性の、嫌気的な
anaerobiosis,嫌気生活
anaerophyte,嫌気性植物、嫌気性細菌
anal,a〉肛門の
analeptic,a〉体力回復の、気力回復の、意識回復の
analgesic,a〉無痛の、無痛覚の、痛覚欠如の、痛覚消失の、痛覚脱失の
analgia,無痛覚
analog,類似体
analogue,類似体
analogy,1_類似、類似性 2_《生物》相似、相似性
analysis,分析、解析
analyst,分析者、アナリスト
analytic(al),a〉分析の、解析の
analyzer,分析装置、アナライザ
anaphase,後期
anaphoretic,a〉汗腺分泌減少の
anaphylactic,a〉過敏症(性)の、アナフィラキシーの
anaphylactoid,a〉アナフィラキシー様の
anaphylaxis,アナフィラキシー
anaplasia,退行形成、退形成
anaplastic,a〉退行性の
anapophysis,椎骨副棘突起
anastomosis,吻合
anastomotic,a〉吻合の
anatomic(al),a〉解剖の、解剖学の、解剖学的な
anatomy,解剖学
anchorage,《歯》固定<矯正の>
ancillary,a〉補助の、補助的な、副の
anconitis,肘関節炎
androgenic,a〉男性ホルモンの、アンドロゲンの
androgenetic,a〉男性ホルモンの、アンドロゲンの
anechoic,a〉無反響の、無響の、無エコーの
anemia,貧血(症)
anemic,a〉貧血(症)の
anencephalous,a〉無脳(症)の
anencephalus,無脳体
anencephaly,無脳(症)
anencephalia,無脳(症)
anepia,会話不能(症)
anergy,アネルギー、無力、無気力
anergia,アネルギー、無力、無気力
anerythrocyte,無色素性赤血球
anesthesia,1_麻酔 2_知覚麻痺、感覚消失
anesthesiologic(al),a〉麻酔学の、麻酔学的な
anesthesiologist,麻酔医、麻酔科医
anesthesiology,麻酔学
anesthetic,a〉麻酔の n〉麻酔薬
anesthetist,麻酔医
anetoderma,斑状皮膚萎縮症
aneuploid,a〉異数性の、異数倍性の n〉異数体
aneuploidy,異数性、異数倍性 〈染色体の〉
aneurysm,動脈瘤
aneurysmal,a〉動脈瘤の
aneurysmectomy,動脈瘤切除(術)
aneurysmotomy,動脈瘤切開(術)
angialgia,血管痛
angiectasia,脈管拡張(症)、血管拡張(症)
angiectasis,脈管拡張(症)、血管拡張(症)
angiitis,脈管炎、血管炎
anginiform,a〉アンギナ様の
anginoid,a〉狭心症様の
anginophobia,狭心症恐怖(症)
anginosis,アンギナ症
angioarchitecture,血管構築
angioblast,血管芽細胞
angioblastic,a〉血管芽細胞の
angiocarditis,血管心臓炎
angiocavernous,a〉海綿状血管腫の
angiocholecystitis,胆嚢胆管炎
angiocholitis,胆管炎
angioclast,動脈鉗子
angiodynia,血管痛
angioedema,血管性水腫、血管性浮腫
angiofibroma,血管線維腫
angiogenesis,血管新生、血管形成、血管発生
angiogenic,a〉血管新生の、血管形成の、血管発生の
angioglioma,血管神経膠腫
angiogliomatosis,血管神経膠腫症
angiogram,血管造影図、血管図
angiographic,a〉血管造影の
angiography,血管造影(法)、血管撮影(法)
angioleiomyoma,血管平滑筋腫
angioleiomyosarcoma,血管平滑筋肉腫
angiolipoma,血管脂肪腫
angiologist,血管学者、脈管学者
angiology,血管学、脈管学
angioma,血管腫、管腫
angiomyolipoma,血管筋脂肪腫
angiomyoma,血管筋腫、血管平滑筋腫
angiomyxoma,血管粘液腫
angioneurotic,a〉血管神経性の
angionoma,血管潰瘍
angiopathy,脈管障害
angioplasty,血管形成(術)
angioplegic,a〉血管麻痺性の
angiopoiesis,血管新生、血管化
angiorrhaphy,血管縫合(術)、脈管縫合(術)
angiorrhexis,血管破裂
angiosarcoma,血管肉腫、管肉腫
angiostaxis,出血性素因
angiostenosis,血管狭窄
angiostrongyliasis,広東住血線虫症
angiostrophy,血管捻転法
angiotitis,血管性耳炎
angle,角度、〜角
angular,a〉1_角度の 2_眼角の 3_《歯》口角の
anhedonia,無快感(症)、快感消失(症)、性的冷感症
anhidrosis,無発汗(症)、無汗(症)
anhidrotic,a〉無発汗(症)の、無汗(症)の、制汗(性)の
anhydremia,乏水血症
anhydride,無水物
anhydromyelia,無髄液(症)
anhydrous,a〉無水の
animal,動物
animalia,動物界
anion,陰イオン
anionic,a〉陰イオンの
anisocoria,瞳孔不同(症)
anisopiesis,血圧不同
anisospore,異形胞子
anisosthenia,(筋の)不同力
anisosthenic,a〉不同力の
anisotonic,a〉非等張の、不等浸透圧の
anisotrophic,a〉異方性の
anisotrophous,a〉異方性の
anisotrophy,異方性
ankyloblepharon,眼瞼癒着
ankylocheilia,口唇硬直
ankylocolpos,膣閉鎖(症)、鎖膣
ankyloglossia,舌癒着症、舌小帯短小(症)
ankylosis,強直、硬直
ankylotic,a〉強直の、硬直の、関節硬直の
announcement,告知
annual,a〉1_一年の、年次の、年々の、年間の 2_<[植物]>一年生の
annular,a〉輪状の、環状の
annulment,無効にすること、破棄
annulus,輪 [L]
anococcygeal,a〉後尾の
anodal,a〉陽極の
anodic,a〉陽極の
anodontia,無歯症
anomaly,異常
anonychia,無爪(症)、爪甲欠損(症)
anophthalmia,無眼球(症)
anophthalmic,a〉無眼球(症)の
anopia,無眼球症
anopsia,視力喪失
anopsy,視力喪失
anorectal,a〉肛門直腸の
anorectic,a〉食欲減退の、食欲不振の、無食欲の; 拒食症の
anorexia,食欲減退
anorexic,a〉食欲減退の、食欲不振の、無食欲の; 拒食症の
anorexigenic,a〉食欲抑制の
anosmatic,a〉無嗅覚(症)の、嗅覚消失の
anosmia,無嗅覚(症)、嗅覚消失
anosmic,a〉無嗅覚(症)の、嗅覚消失の
anosognosia,病態失認
anosphrasia,無嗅覚(症)、嗅覚消失
anovaginal,a〉肛門膣の
anovulant,a〉排卵抑制の
anovulation,無排卵(症)
anovulatory,a〉無排卵(性)の
anoxemia,無酸素血(症)、低酸素血(症)
anoxia,無酸素症、低酸素(症)、酸素欠乏(症)
anoxic,a〉無酸素(性)、無酸素症の
ansa,《解》ワナ
anserine,a〉鵞足の
antacid,制酸薬
antagonism,拮抗
antagonist,拮抗薬
antatrophic,a〉萎縮抑制の
antebrachial,a〉前腕の
antecubital,a〉肘前の
anteflexion,前屈
antemetic,鎮吐剤
antemortem,a〉生前の
antenatal,a〉出生前の
anteorbital,a〉眼前の
antepartum,分娩前
anterior,a〉前の、前方の
anterolateral,a〉前外側の
anteromedial,a〉前内側の
anteroseptal,a〉前中隔の
anteroventral,a〉前腹方の
anthelmintic,a〉寄生虫を駆除する、駆虫の
anthracic,a〉炭疽[病]の
anthracopneumoconiosis,黒塵肺(症)
anthrax,炭疽
anthracotic,a〉炭粉沈着(症)の
anthropogenetic,a〉人類発生[論]の
anthropography,人類分布学
anthropologist,人類学者
anthropology,人類学
anthropometer,人体計測器
anthropometric,a〉人体計測(法)の
anthropophagy,食人症
anthropophobia,対人恐怖(症)
anti immune,a〉抗免疫(性)の
anti inflammation,抗炎症、抗炎症作用
anti inflammatory,a〉消炎の
anti insulin,a〉抗インスリンの
antiabortion,a〉中絶反対の
antiallergic,a〉抗アレルギーの
antiarrhythmic,a〉抗不整脈の
antibacterial,a〉抗菌(性)の
antibilious,a〉抗胆汁症の
antibiotic,抗生物質
antibody,抗体
anticancer,a〉抗癌の、抗腫瘍の
anticoagulant,抗凝血薬、抗凝固薬
anticoagulation,抗凝固、抗凝固療法
anticonvulsant,a〉抗痙攣(性)の n〉抗痙攣薬
antidepressant,a〉抗鬱(性)の n〉抗鬱薬
antidiabetic,a〉抗糖尿病(性)の n〉抗糖尿病薬
antidiuresis,抗利尿
antidiuretic,a〉抗利尿(性)の
antidotal,a〉解毒の
antidote,解毒薬
antidromic,a〉逆流(性)の、逆行(性)の、逆方向(性)の
antidrug,a〉反麻薬の
antiedemic,a〉抗浮腫(性)の
antiemetic,制吐薬
antiepileptic,a〉抗癲癇(性)の n〉抗癲癇薬
antiepithelial,a〉抗上皮[細胞](性)の
antifibrillatory,a〉抗心房細動(性)の n〉抗心房細動薬
antifibrinolytic,a〉抗線維素溶解の
antiflatulent,a〉抗膨満(性)の n〉抗膨満薬
antifungal,a〉抗真菌の n〉抗真菌薬
antigen,抗原
antigenemia,抗原血(症)
antigen presenting,a〉抗原提示の
antigen responsive,a〉抗原反応性の
antigen sensitive,a〉抗原感受性の
antigen specific,a〉抗原特異(性)の
antigenic,a〉抗原の
antigenicity,抗原性
antiglaucoma,a〉抗緑内障の
antihemolytic,a〉抗溶血性の
antihidrotic,a〉制汗(性)の
antihistamine,a〉抗ヒスタミン(性)の
antihuman,a〉人間に反抗する; 抗人の
antihypertensive,a〉抗高血圧の
antiluetic,a〉駆梅薬の n〉駆梅薬
antimanic,a〉抗躁の n〉抗躁薬
antimatter,《理化》反物質
antimetabolite,代謝拮抗物質
antimetastatic,a〉抗転移の
antimicrobial,a〉抗菌(性)の、抗微生物の
antinausea,a〉制吐(性)の
antineoplastic,a〉抗腫瘍(性)の、抗新生物(性)の
antinuclear,a〉抗核の
antioxidant,抗酸化剤、酸化防止剤
antioxidation,抗酸化
antioxidative,a〉抗酸化の
antiparallel,a〉逆平行(性)の
antiperistalsis,逆蠕動
antiplatelet,a〉抗血小板の
antiproliferative,a〉抗増殖の、抗癌の
antiproton,反陽子
antiprotozoal,a〉抗原虫の
antipsychotic,a〉抗精神病性の
antipyretic,a〉下熱の、解熱の n〉下熱薬、解熱薬
antirheumatic,a〉抗リウマチ(性)の
antisecretory,a〉抗分泌性の
antisepsis,消毒
antiseptic,a〉防腐(性)の n〉防腐剤、消毒剤
antiserum,抗血清
antisocial,a〉反社会の
antispastic,a〉鎮痙(性)の n〉鎮痙薬
antisudorific,a〉制汗(性)の
antitheses,正反対(のもの)
antithrombotic,a〉抗血栓(症)の
antithyroid,a〉抗甲状腺(性)の n〉抗甲状腺薬
antitoxin,抗毒素
antitumor,a〉抗腫瘍の
antitussive,a〉鎮咳(性)の
antitwilight,《理化》反対薄明
antiulcer,a〉抗潰瘍の
antivenin,抗蛇毒
antivivisection,動物実験反対
antral,a〉洞の
antrostomy,開洞術
antrum,洞
anuria,無尿(症)
anus,《解》肛門
anxiety,心配、不安; 心配事
aorta,大動脈
aortalgia,大動脈痛
aortectasia,大動脈拡張症
aortectasis,大動脈拡張症
aortic,a〉大動脈の
aortitis,大動脈炎
aortocaval,a〉大動静脈の 大静脈
aortopexy,大動脈固定(術)
aortosclerosis,大動脈硬化(症)
apatite,アパタイト、燐灰石
aperient,軟下薬
apertognathia,開咬
apertometer,開口角測定器
apertura,《解》口、開口
aperture,1_《解》口、開口(apertura[L]) 2_《理化》口径
apex,1_《解》尖 2_《歯》根尖
aphagia,嚥下不能(症)
aphakia,無水晶体(症)
aphasia,失語(症)
aphasic,a〉無相の
apheresis,自己血輸血、アフェレシス
aphonia,失声(症)
aphtha,アフタ
aphthoid,a〉アフタ様の
aphthous,a〉アフタ(性)の
apical,a〉1_心尖の 2_《歯》根尖(性)の
apicocurettage,《歯》根尖掻爬(法)、根尖掻爬(術)
apicoectomy,《歯》根尖切除(法)、根尖切除(術)
apicolysis,肺尖剥離(術)
apituitarism,無下垂体(症)
aplanatic,a〉無収差の
aplasia,無形成
aplastic,a〉無形成の、再生不良性の
apnea,無呼吸(症)
apnoea,無呼吸(症)
apneic,a〉無呼吸の
apneusis,持続性吸息
apneutic,a〉持続性吸息の
apodal,a〉無足の、無脚の
apodous,a〉無足の、無脚の
apodia,無足(症)
apodous,a〉無足の、無脚の
apoferritin,アポフェリチン
apogee,最悪期
apolar,a〉無極の
apolipoprotein,アポリポ蛋白質
aponeurorrhaphy,腱膜縫合(術)
aponeurosis,腱膜
aponeurositis,腱膜炎
aponeurotic,a〉腱膜の
aponeurotome,腱膜切開器
aponeurotomy,腱膜切開(術)
apophysis,骨突起、突起
